day,phase,tiltx_11m,tiltx_19m,pcnn_pred_11m,pcnn_pred_19m,q_AB,q_BC,fe_q_AB,fe_q_BC,pcnn_slope_0.0m,pcnn_defl_0.0m,pcnn_slope_0.5m,pcnn_defl_0.5m,pcnn_slope_1.0m,pcnn_defl_1.0m,pcnn_slope_1.5m,pcnn_defl_1.5m,pcnn_slope_2.0m,pcnn_defl_2.0m,pcnn_slope_2.5m,pcnn_defl_2.5m,pcnn_slope_3.0m,pcnn_defl_3.0m,pcnn_slope_3.5m,pcnn_defl_3.5m,pcnn_slope_4.0m,pcnn_defl_4.0m,pcnn_slope_4.5m,pcnn_defl_4.5m,pcnn_slope_5.0m,pcnn_defl_5.0m,pcnn_slope_5.5m,pcnn_defl_5.5m,pcnn_slope_6.0m,pcnn_defl_6.0m,pcnn_slope_6.5m,pcnn_defl_6.5m,pcnn_slope_7.0m,pcnn_defl_7.0m,pcnn_slope_7.5m,pcnn_defl_7.5m,pcnn_slope_8.0m,pcnn_defl_8.0m,pcnn_slope_8.5m,pcnn_defl_8.5m,pcnn_slope_9.0m,pcnn_defl_9.0m,pcnn_slope_9.5m,pcnn_defl_9.5m,pcnn_slope_10.0m,pcnn_defl_10.0m,pcnn_slope_10.5m,pcnn_defl_10.5m,pcnn_slope_11.0m,pcnn_defl_11.0m,pcnn_slope_11.5m,pcnn_defl_11.5m,pcnn_slope_12.0m,pcnn_defl_12.0m,pcnn_slope_12.5m,pcnn_defl_12.5m,pcnn_slope_13.0m,pcnn_defl_13.0m,pcnn_slope_13.5m,pcnn_defl_13.5m,pcnn_slope_14.0m,pcnn_defl_14.0m,pcnn_slope_14.5m,pcnn_defl_14.5m,pcnn_slope_15.0m,pcnn_defl_15.0m,pcnn_slope_15.5m,pcnn_defl_15.5m,pcnn_slope_16.0m,pcnn_defl_16.0m,pcnn_slope_16.5m,pcnn_defl_16.5m,pcnn_slope_17.0m,pcnn_defl_17.0m,pcnn_slope_17.5m,pcnn_defl_17.5m,pcnn_slope_18.0m,pcnn_defl_18.0m,pcnn_slope_18.5m,pcnn_defl_18.5m,pcnn_slope_19.0m,pcnn_defl_19.0m,pcnn_slope_19.5m,pcnn_defl_19.5m,pcnn_slope_20.0m,pcnn_defl_20.0m,pcnn_slope_20.5m,pcnn_defl_20.5m,pcnn_slope_21.0m,pcnn_defl_21.0m,pcnn_slope_21.5m,pcnn_defl_21.5m,pcnn_slope_22.0m,pcnn_defl_22.0m,pcnn_slope_22.5m,pcnn_defl_22.5m,pcnn_slope_23.0m,pcnn_defl_23.0m,pcnn_slope_23.5m,pcnn_defl_23.5m,pcnn_slope_24.0m,pcnn_defl_24.0m,pcnn_slope_24.5m,pcnn_defl_24.5m,pcnn_slope_25.0m,pcnn_defl_25.0m,pcnn_slope_25.5m,pcnn_defl_25.5m,pcnn_slope_26.0m,pcnn_defl_26.0m,pcnn_slope_26.5m,pcnn_defl_26.5m,pcnn_slope_27.0m,pcnn_defl_27.0m,pcnn_slope_27.5m,pcnn_defl_27.5m,pcnn_slope_28.0m,pcnn_defl_28.0m,pcnn_slope_28.5m,pcnn_defl_28.5m,pcnn_slope_29.0m,pcnn_defl_29.0m,pcnn_slope_29.5m,pcnn_defl_29.5m,pcnn_slope_30.0m,pcnn_defl_30.0m
21,1,-0.21107119355319148,1.5170824494184398,-0.22368086056473035,1.6027408616678058,4.91045764672966,4.980819301973996,1.584746177618813,6.069638268167834,-0.0,-0.0,-0.27415651164714233,-0.07432208719047095,-0.42208401306103005,-0.2531273655876607,-0.46785946120031774,-0.47939032784860797,-0.43383897906843566,-0.7076975416254899,-0.3405738962978151,-0.9033656268319334,-0.20674174290319744,-1.0415209788342776,-0.04909235662625987,-1.1061487660903848,0.11759100774609094,-1.089118741926578,0.280515922941626,-0.9891952920047911,0.42889095535524624,-0.8110389067261969,0.553922497620338,-0.5642059382115735,0.648799154333768,-0.26215309215428173,0.7086646754853663,0.07874736686013012,0.7305805081364678,0.44017623551474766,0.7134790840903408,0.8028149045517193,0.6581089831244066,1.1472674566530865,0.5669731113381424,1.4549535524912849,0.4442610157262757,1.7089688938940786,0.2957764223757187,1.8949106057701577,0.1288610395421003,2.001665411068656,-0.047684389221110894,2.0221589800197837,-0.22368086056473035,1.9540653118087339,-0.38765286390795617,1.8004754502658216,-0.526910333480222,1.5705252425889493,-0.62763009900946,1.2799822198050452,-0.6749362124171705,0.9517920085786886,-0.6529786062932869,0.6165849756779184,-0.5450096174347483,0.3131440590831984,-0.33345798430812773,0.08883495408856303,-0.0,0.0,0.2853927075210954,0.07170577073485217,0.5582940547906917,0.28330491824428894,0.8115518562042103,0.6267201924326361,1.039041269822676,1.090556532568456,1.2356291762904552,1.6606059071848234,1.397137023232449,2.3203339412242805,1.5203025616545387,3.0513476714264867,1.6027408616678058,3.8338439744265846,1.6429049557286335,4.647038395895619,1.640046419073513,5.469574273486039,1.594176159605454,6.279912191774707,1.5060256535664043,7.056699934473623,1.3770088292445595,7.779123208741732,1.2091847689835251,8.427237509468014,1.0052213700790569,8.982281569009821,0.7683600778995416,9.42697290124816,0.5023817798179098,9.745785999197091,0.21157392630962882,9.925213784036224,-0.09930107418051361,9.954012931571883,-0.42503615734600586,9.823433720999706,-0.7600085878923591,9.52743506161422,-1.0982076258546138,9.062885356906918,-1.4332608839130296,8.429749863355722,-1.758459394295248,7.6312651940999965,-2.066781411217069,6.674101606494223,-2.350914980682327,5.568513698031449,-2.603279314007467,4.328480118029733,-2.816045004824346,2.971832883399902,-2.981153131703379,1.520376866300758,-3.0903332900754514,0.0
22,1,-0.2622841550555555,1.7076861817222222,-0.25591160614155695,1.6704049180726324,4.907741595098157,4.981713639075376,1.9692588324210336,6.832217591453881,-0.0,-0.0,-0.28023957301881436,-0.0760260939036059,-0.4301823261164586,-0.2585321423693531,-0.4745976015869872,-0.4886298729867654,-0.4365704094814435,-0.7193992871155557,-0.33739566285482653,-0.9150194870897249,-0.19648664142370587,-1.0498501249639232,-0.03129881360812019,-1.1074708819166932,0.14273016777938818,-1.0796868750536974,0.31222382028649315,-0.9655082118737616,0.4658934103727104,-0.7701120633978631,0.594547973331983,-0.5037956037138698,0.6910883172125067,-0.18092797256878382,0.7504858469606648,0.18109092860847525,0.7697472973969903,0.5628574799623085,0.7478666679841385,0.9439704959464081,0.6857658049541262,1.3040104445682248,0.5862251764766739,1.6234864401484193,0.4538064360525674,1.884746503857532,0.2947683722284618,2.0728473864465715,0.11697780465462823,2.176381038693387,-0.07018308595091975,2.18825557826998,-0.25591160614155695,2.106429321563633,-0.42808030861414964,1.934597113574956,-0.5733325274103037,1.6828287899419003,-0.6771766962873523,1.3681601371748062,-0.7240786003522265,1.0151371779478413,-0.6975508521208328,0.6563149978075952,-0.580239018550195,0.3327126499337627,-0.35400395263668727,0.09422592915948304,-0.0,0.0,0.30155067478931946,0.07582151350977481,0.588653112502492,0.2991363049432349,0.8539498725697688,0.6608342362732348,1.0911830430255482,1.1484030364302003,1.295152203507647,1.7464676455173698,1.4616705719381025,2.4373080598658436,1.587519938057331,3.201354923456428,1.6704049180726324,4.017662395541607,1.708906997661437,4.864358074572557,1.7024387665289389,5.719069976003139,1.6511986874573332,6.559330747906581,1.5561266868473396,7.362959465636146,1.418860802478846,8.108421477244216,1.241695077767974,8.775166877422885,1.0275388501925793,9.343948271765605,0.7798775447047839,9.797118557577619,0.5027350506680592,10.118909494615687,0.2006377329042576,10.295691871243955,-0.12141989647643518,10.316218090645581,-0.45800783898063463,10.17184800987009,-0.803291613693776,9.856758863402568,-1.151061628376752,9.368140094221026,-1.4947609528183146,8.70637390040217,-1.8275115382202363,7.875202285518652,-2.1421389329691802,6.881881377457452,-2.4311955499368545,5.737323753846524,-2.686982543715193,4.45622948383148,-2.9015703581797956,3.0572065661956764,-3.0668180057017285,1.562881413348636,-3.1743911393906123,0.0
23,1,-0.3068887537291667,1.751308311201389,-0.3275155666004613,1.7432592266153004,4.918027306144696,4.985745690256498,2.3041551584533826,7.006743733080014,-0.0,-0.0,-0.27474228183168165,-0.07478042621469157,-0.4166046409023512,-0.2526045154968681,-0.45134069147096206,-0.4735403575741785,-0.40296429926517485,-0.6901035127019598,-0.2936230201617014,-0.866354832680623,-0.14348833456990903,-0.9769391311053661,0.02933584036112337,-1.006073486067466,0.20888525763227186,-0.9464946066653424,0.38138737936784217,-0.798375143437051,0.5352930980814494,-0.5682190575495942,0.6612883311786708,-0.26774617805987977,0.7522861057968401,0.0872241264266694,0.8034001454602753,0.47788064417702764,0.8119013175594092,0.8835104621577903,0.777158589393473,1.282563384933285,0.7005663622757475,1.6536833445162005,0.5854602038824233,1.976700490465689,0.43702307851948297,2.233578682410651,0.2621841867816681,2.4093141626686325,0.06951247665927779,2.4927822323967987,-0.1308932138024472,2.4775297622380315,-0.3275155666004613,2.3625123139230455,-0.5075301071561586,2.152775514182262,-0.6569149989963454,1.860081093359399,-0.7605580766459857,1.5034786701707694,-0.8023600952139427,1.1098249276521213,-0.7653333820123847,0.7142522840488572,-0.6316952718123826,0.36058952012546736,-0.38295588860373214,0.10173708755470917,-0.0,0.0,0.32293022871289906,0.08132298934315876,0.6276562601276259,0.3198894380537955,0.9068717970220495,0.7047210191534211,1.1544368751952323,1.2214799674199428,1.3653257615433636,1.8530393032056194,1.5355732793819683,2.580026578169398,1.6622203236430997,3.381340551511,1.7432592266153004,4.234640560988466,1.7775795370557674,5.11680865866467,1.7649146834400946,6.004384839459268,1.7057899069568279,6.8739759043703925,1.6014717722940366,7.702638673318102,1.4539194946332086,8.468238398844113,1.265738259603179,9.149783335364585,1.0401346590716516,9.727736493261926,0.7808743192164358,10.184305656630675,0.4922417578584864,10.503712771568454,0.17900247501398772,10.672443821881874,-0.15363274655010278,10.679480304031163,-0.5000413758930974,10.5165133958431,-0.8542205660104611,10.178141886455851,-1.2098165590620569,9.662054900304906,-1.560152149958283,8.969200407616304,-1.898252300177291,8.103940469480074,-2.216867997769006,7.074194118521904,-2.5084984614589327,5.891568727643989,-2.7654117869781993,4.571480670230756,-2.9796641325539164,3.1332660263978434,-3.143117538192508,1.6002820419306403,-3.2474564702347704,0.0
24,1,-0.31041459513888886,1.7611046540972222,-0.3177881843590471,1.7309339736023543,4.91244645286811,4.984916857320228,2.3306275709265667,7.045937553924383,-0.0,-0.0,-0.28098188064427054,-0.07644658677412951,-0.42679562849940794,-0.2584630254146285,-0.46368565853863847,-0.48509825776773785,-0.41609935386566405,-0.7080800185389778,-0.3065561916501876,-0.8908828105755053,-0.15553662481776948,-1.00773531900379,0.018608017885394915,-1.0425774787714575,0.19972386332985007,-0.9879779138860694,0.3739008222355472,-0.844022712539312,0.5294971774759833,-0.6171864940321241,0.657143157776351,-0.31919647441901833,0.7497246326683383,0.034100229930180304,0.8023484117379078,0.423856479211339,0.812290907276195,0.8293233994744093,0.7789321208685873,1.2289192493260974,0.7036770416043047,1.6012620441478824,0.5898666002323945,1.9261601787528453,0.44268031621840936,2.1855563622282794,0.2690327117017739,2.3644212335716084,0.07746545741969053,2.4515940382007786,-0.12196292919030129,2.4405686930268264,-0.3177881843590471,2.33022443605076,-0.4972507350593945,2.125501034740996,-0.646404206998805,1.8380192095269978,-0.7502209349657312,1.4866475122515874,-0.792693599528727,1.0980173852659552,-0.7569322973581418,0.7069885185664079,-0.625256522972093,0.3570669255161759,-0.37928169513240845,0.10077837927282876,-0.0,0.0,0.32010973992478853,0.08060256688826063,0.6223829707372444,0.31713022840480337,0.8995143421067315,0.6987887519908901,1.1453638991906299,1.2114247543505205,1.354904025142848,1.8380952008250533,1.5241651723007,2.559610042671348,1.6501810663026648,3.3550475616441076,1.7309339736023543,4.202242309773899,1.7653005341869934,5.078245805064147,1.7529985787387634,5.9597603738232685,1.6945352736056878,6.823546720711643,1.5911568681005674,7.6468059617580595,1.4448002569146168,8.4075369771309,1.2580465157253844,9.084870032877076,1.034076520163002,9.659377687625893,0.7766287168361262,10.113364044710858,0.4899590796958198,10.431133435414885,0.17880325517036882,10.599239627999836,-0.15165912525232658,10.606716652507174,-0.49583800648467086,10.445292315432203,-0.8477644029034532,10.109585453451045,-1.2011198930384335,9.597287943343268,-1.5492641952097566,8.909332447794442,-1.8852609100191473,8.050046835351003,-2.201901519856588,7.02729616869375,-2.491727737883121,5.852613109666926,-2.747052299622371,4.541317543039514,-2.9599782896351807,3.1126261745243933,-3.122417094026073,1.5897528127356308,-3.2261050669674782,0.0
25,1,-0.33575680108333333,1.7632573528541666,-0.3177464331367324,1.726152069155769,4.915750664461747,4.9841102650952,2.5208996934593197,7.054550205636224,-0.0,-0.0,-0.28258883342384206,-0.07687561714752371,-0.42939119741773857,-0.25996683641746365,-0.4667338103250859,-0.4880334576461994,-0.41915721370648357,-0.7125581353774583,-0.3092800601516421,-0.8968185810888258,-0.15768307533484582,-1.0148967537435407,0.01718577831076124,-1.050635278864375,0.1990839351288665,-0.9965519697285146,0.3740242011643955,-0.852723688855711,0.5303021564440759,-0.6256508798073177,0.658501586794335,-0.3271139257756278,0.7514790181489998,0.026967929607378597,0.8043288351267172,0.417665005367101,0.8143308002866408,0.8241436841470063,0.7808820433702006,1.22474269991829,0.70541575826631,1.5980120016007482,0.5913089311371577,1.9237081254076598,0.4437814317179538,2.183741175643143,0.26978873990730573,2.363069667354265,0.07791046216251729,2.4505405930589044,-0.12176337114722785,2.4396731138377725,-0.3177464331367324,2.329385222583985,-0.4972690767768931,2.1246635703871726,-0.6463888138073114,1.837177377823372,-0.7500971804547651,1.4858379683452407,-0.7924220984534041,1.0973059623663501,-0.756525051485197,0.7064485628488095,-0.6247925916919994,0.3567496537263099,-0.3789218653975511,0.10067563066885911,-0.0,0.0,0.3196742165447295,0.08049847942727635,0.6214068146208972,0.316677142111741,0.8979169514473333,0.6976950436194963,1.1430948074004987,1.2093658477873062,1.3519462583015633,1.834729564640554,1.5205365450802217,2.554596341449854,1.6459336611088733,3.348061990331012,1.726152069155769,4.19299526858748,1.760097258654263,5.066497208333955,1.747511560900667,5.94533302366121,1.6889215554785524,6.8063373109570255,1.585587325886699,7.626793405441803,1.4394537559474299,8.3847878689989,1.2531040007939322,9.059541165372961,1.0297152166190928,9.631715632975705,0.7730165913448135,10.083701896820983,0.4872496833030334,10.39988487314682,0.17713104623875464,10.566890516385293,-0.15218290422404823,10.573814441283725,-0.4951288457320953,10.412433525803337,-0.8457674029485336,10.0774015652401,-1.1978119870546473,9.566430006833384,-1.544655715173877,8.880454748675875,-1.879396508219326,8.023789938469122,-2.1948604677811288,7.004269657806393,-2.4836236329681656,5.833378327213753,-2.738032216954719,4.526370616959701,-2.9502214206668245,3.102381599305572,-3.1121329178430237,1.5845278299194576,-3.21553110184921,0.0
26,1,-0.31424548188194446,1.7035439469861111,-0.3317260434263196,1.7444126039494712,4.911947057752678,4.984897572163194,2.359390297951266,6.815645079867796,-0.0,-0.0,-0.28093795756849255,-0.07647811052804689,-0.4257993238627707,-0.2582675612113589,-0.46106396556888923,-0.48402126197147977,-0.41142339435756176,-0.7051914097095863,-0.29963640839036,-0.885098354417548,-0.14640648645715285,-0.9979326485466573,0.0297175728780317,-1.0277015560703489,0.21241692559663264,-0.9671318811765213,0.3876536659415948,-0.8165412368026749,0.5436979139628567,-0.5826898235365767,0.6711319398485677,-0.2776244546889157,0.7628327208214346,0.08247402224770004,0.813934703353993,0.47842955338795723,0.8217748298360622,0.8891865629042772,0.7858220847466724,1.292894183806624,0.7075939250892386,1.6679518831303526,0.590561990799368,1.9940105228205127,0.44004945275014584,2.252924088587294,0.2631222599404117,2.4296484759837864,0.06847640509114816,2.513084819846815,-0.13367684929144033,2.4968658697797843,-0.3317260434263196,2.380084835893915,-0.512773365552085,2.167966946108342,-0.6627459648456909,1.8724846641126591,-0.766503645646301,1.5129181147580828,-0.8079420678535401,1.11636275358277,-0.7700907773758663,0.7181867044053836,-0.6352055740307325,0.36244048040290483,-0.3848548901430956,0.10222200815722318,-0.0,0.0,0.32418653227382416,0.08165335246082314,0.6297835153270464,0.32108141969514853,0.9095058965659231,0.7071178814672721,1.1572478933672565,1.2252510111694102,1.3680269907566887,1.8581993676678592,1.5379269502797845,2.5864592069099817,1.6640405415058526,3.3888233011860014,1.7444126039494712,4.242871183501197,1.777983949988025,5.125431113814531,1.7645365294961848,6.013014296404519,1.7046401949525376,6.882222067156159,1.5996013319446611,7.710126920142448,1.4514135543112987,8.474628358578583,1.2627106054288342,9.154784640087673,1.0367215570440307,9.731121544135144,0.7772283541394468,10.185919324171088,0.4885257180830939,10.503479021937995,0.17538339020474009,10.670369319755627,-0.15698932661924028,10.675655091307773,-0.5029767903840212,10.511108785152377,-0.8565880835864118,10.171405740200564,-1.2114860066268351,9.654304490818264,-1.561014097567994,8.960813072790017,-1.8982217800184638,8.095342291687315,-2.2158877436977478,7.065846863511646,-2.506541663037801,5.883955284929654,-2.762484358349026,4.565089237886092,-2.97580650195013,3.1285732816007905,-3.1384059685152548,1.5977355345053161,-3.2420039249763994,0.0
27,1,-0.317198505993007,1.6764221308321678,-0.342034801183479,1.723768204533353,4.908240815426436,4.986554843968764,2.381561933945939,6.707134422920118,-0.0,-0.0,-0.2768790460785669,-0.07546128936343323,-0.4179340456296058,-0.2542513026365368,-0.4499854115248042,-0.47523856896157557,-0.3979652120368923,-0.6902360718771475,-0.2847771434770587,-0.8630210616205309,-0.13118140603858786,-0.9682910255604954,0.04429459196481409,-0.9905685303885097,0.225419494601477,-0.9230679309568681,0.39829567989124154,-0.7665368754796794,0.5513724047614703,-0.5280851585630892,0.6754359491833881,-0.22001282491877067,0.7635786876501565,0.14135144368080613,0.8111493050580646,0.5367916662382168,0.8156865624769198,0.9453167928912914,0.7768391134960202,1.345236225762208,0.6962738841357599,1.7151922848883925,0.5775754709738087,2.0351445184108456,0.42613889628654245,2.2873019566772888,0.2490578988050726,2.4570005408480204,0.05501074662785425,2.533523998958308,-0.14585465371816755,2.5108673831597845,-0.342034801183479,2.3884433133358347,-0.5207824714830472,2.1717316913415488,-0.6682153108868916,1.8728742574226418,-0.7694202584871357,1.5112158595921932,-0.8085531000205994,1.1137947038441063,-0.7689326370160083,0.7157841556448808,-0.6331291176714059,0.3608888798271851,-0.3830467196684399,0.10169824606423523,-0.0,0.0,0.32194538794155836,0.08111608103589928,0.6248534086418797,0.3187657245742866,0.9016378673395029,0.7016091086419158,1.1463741685252347,1.215056099038359,1.3542416675547437,1.8418326662129836,1.5214656587165851,2.562518359247134,1.6452596159629054,3.356054813460022,1.723768204533353,4.20022555144948,1.7560114915905833,5.072107573629064,1.741830702076087,5.94849542755962,1.6818357923724767,6.806298599727736,1.5773550489081634,7.622913193018239,1.4303868612938422,8.376568941987074,1.2435537695541476,9.04665268002498,1.0200588420476906,9.614009411257825,0.7636444042358218,10.061222158957136,0.47855310801494627,10.372871764464895,0.169491306306571,10.53577779902501,-0.1584053225573232,10.539221728030494,-0.49960397195561274,10.375153435335584,-0.8482048089556885,10.038382176471671,-1.1979690732486563,9.526752985615872,-1.5423452710618768,8.841309513521809,-1.8744935655807784,7.986444223642376,-2.1873084669071017,6.97003682245838,-2.473439924409876,5.803581748492842,-2.7253129228030324,4.502305493393657,-2.935145680686709,3.0852744784096147,-3.094966546861829,1.5754941610433475,-3.1966296856800454,0.0
28,1,-0.35556019303472225,1.6840630794375,-0.3061569943246256,1.7220770282950544,4.914402364868091,4.9837287671793025,2.6695857797534304,6.737704807593547,-0.0,-0.0,-0.28412770190906034,-0.07724714955377343,-0.43269360942090324,-0.2615429798399187,-0.4718594802758322,-0.4917172100745228,-0.42602707196790107,-0.7192466439044142,-0.31769920062929136,-0.9073395910164993,-0.16736183944764305,-1.029956014027597,0.006611501779805865,-1.0707742554506896,0.1880324616001166,-1.0221156730751249,0.3629474875419877,-0.8838386965508344,0.519664907839521,-0.6622137292457331,0.6487603171134982,-0.3687899822481811,0.7430615785717275,-0.01926477303347007,0.7976150705818308,0.3676349144727937,0.8096350538164314,0.7712496909248019,0.7784382075758401,1.1700559104741657,0.7053654842684692,1.5426978266532123,0.5936934655045923,1.8689779600063705,0.4485373795089377,2.1308009702940836,0.2767478661815013,2.313067389484074,0.08680346212376969,2.404514587911412,-0.11129936775959896,2.398503296859151,-0.3061569943246256,2.2937488826973462,-0.48506871024164566,2.0949973510569944,-0.6341448565740991,1.8136467485029546,-0.7384119025591614,1.4683152213305928,-0.7819135820906474,1.0853574868317368,-0.7478073736123677,0.6993318744287202,-0.6184557823394169,0.35342040715175327,-0.3755120424109895,0.09980462419914997,-0.0,0.0,0.31738713413886815,0.07989968790131345,0.6174580960751807,0.31449435505803847,0.8928802043205484,0.6932431752102978,1.1374845052719293,1.202232086760891,1.3462127532401558,1.8247424687584073,1.515063162091744,2.541792968639498,1.6410356279863567,3.3326540464169394,1.7220770282950544,4.175335125981658,1.7570271118860388,5.0470445240423105,1.7455654116413968,5.924622563488295,1.6881595320722331,6.784948473619391,1.5860150937000517,7.605321838029373,1.4410275516984123,8.363819475426755,1.2557360491692913,9.039628732850597,1.03327941522915,9.613358238093056,0.7773543745381286,10.0673272020718,0.4921759976630924,10.385834385647536,0.1824403902929012,10.555407851999224,-0.14671040665143484,10.565036617970136,-0.489721355047169,10.406385298356202,-0.8406552614639716,10.0739928082462,-1.193221601444485,9.565456152310055,-1.5408034140912135,8.881600288188723,-1.876482361337114,8.026635005452155,-2.1930620502270135,7.008299713319113,-2.483089718378364,5.837996980629216,-2.7388763828857243,4.530915621383433,-2.9525155516106985,3.106144069315142,-3.115900593347926,1.5867747360540745,-3.22074086003363,0.0
29,1,-0.32000745111458334,1.7035169005208333,-0.2959939015735973,1.7121786592423023,4.914453218038463,4.986844156684843,2.402651808739476,6.815536870679342,-0.0,-0.0,-0.28833125789734404,-0.07835984090371337,-0.4397762683503545,-0.26552606573662557,-0.4807834262376302,-0.49973985989852315,-0.43599293462154387,-0.7320207035217996,-0.3281001206162866,-0.9252271956749399,-0.17774123001612202,-1.053055104213981,-0.0034026324363565456,-1.0989841397855005,0.1786462446477222,-1.0551852636393995,0.3543965046304391,-0.9214003533864681,0.5121206544183619,-0.703805794816818,0.6423719588931226,-0.41387107491705644,0.737963832032541,-0.06722275962611181,0.7939310941156221,0.3174766096245258,0.8074751181237807,0.7196261329707198,0.7778950058529647,1.1177531591152328,0.7065069823379426,1.490542443604894,0.5965541844907933,1.8178225131905021,0.4531089557517988,2.0815049649407427,0.28296965267785423,2.266473459753206,0.09455383116649126,2.361420139469768,-0.10221048172071805,2.3596280910242253,-0.2959939015735973,2.25969929022057,-0.4741738429028894,2.066228175941376,-0.6229405625497495,1.790421630192849,-0.7274001200188631,1.450666670567725,-0.7716734627549229,1.0730476018975792,-0.7389910125783279,0.6918147273339508,-0.6117822853015051,0.3498069914831532,-0.37176021734636594,0.09883112615072344,-0.0,0.0,0.3146088155465584,0.07918532110846353,0.6123735834764222,0.3117947555371542,0.8859524638757548,0.6875214886931909,1.1291616479130775,1.1926794623346113,1.336922593244494,1.8107692548885073,1.5052082644877316,2.523017302315115,1.6309890152014364,3.3088881249489006,1.7121786592423023,4.146569521624682,1.7475811960584375,5.013430945269015,1.736838577115238,5.886455486816699,1.6803798296838515,6.742646069896146,1.579371789877316,7.5594066004781215,1.4356716391385744,8.314898926928022,1.2517813872631427,8.988376549954552,1.0308044002546197,9.560496082034199,0.7764040325517673,10.013607495107069,0.4927643900537223,10.332024216603907,0.18455322248317788,10.502274139897173,-0.14311307948253443,10.513332608572243,-0.4847024256754219,10.356838416761073,-0.8342979647937565,10.027293842214084,-1.185627089474754,9.52224969662324,-1.5320885864504754,8.842476340545762,-1.8667780161240892,7.9921215695028875,-2.1825114096756346,6.978856234632228,-2.471847373727308,5.814008416667228,-2.7271076929827935,4.512686926848209,-2.940396520385561,3.093894863332799,-3.1036182424683347,1.580633907332306,-3.2084941049102325,0.0
30,1,-0.3012205112847222,1.725286326451389,-0.33872120353888524,1.7593712859358537,4.910388662626522,4.985541535018448,2.2615973588956404,6.9026333503431845,-0.0,-0.0,-0.2840169557431153,-0.07731276387853174,-0.43049129561859767,-0.26110208123987827,-0.4661012673701913,-0.4893365034461506,-0.4157564104567298,-0.7128882215705692,-0.3024467934742739,-0.8946101864817836,-0.14711334812715376,-1.008343037171909,0.031458963230998054,-1.0378628445019387,0.21672401310509914,-0.975781396014862,0.3944328862741753,-0.8224111609427666,0.5526678447605873,-0.5846071847872314,0.6818525154709391,-0.2745979831909589,0.7747394392069057,0.09118294129992735,0.8263765529183743,0.49325401680368763,0.8340545298185956,0.910220888843705,0.7972371688632836,1.3198810437673405,0.7174772050410313,1.7002898806764275,0.5983200077603851,2.030781556785889,0.44519765243584347,2.2929391723118435,0.2653157987647394,2.471510093327251,0.06753569846498254,2.555263402321154,-0.13774650331376664,2.5377875896955326,-0.33872120353888524,2.4182276341021733,-0.5222857643400738,2.2019615500483685,-0.6741624085967004,1.9012172977092991,-0.7790123128932095,1.5356316474592615,-0.8205448597180827,1.1327531696967743,-0.7816212385344006,0.7284919821578328,-0.6443517986883867,0.36751923807441667,-0.3901867523161636,0.1036195874372855,-0.0,0.0,0.3283356099059893,0.08271290005170108,0.6375023342801118,0.32513376551529943,0.9201454244913478,0.7157879131358168,1.170118663426828,1.2398278260290267,1.3824256641373913,1.8796228150719125,1.553159910768046,2.6153189787232853,1.6794443575633122,3.425369041287817,1.7593712859358537,4.287032028373651,1.7919430096758993,5.176843060530124,1.7770139158247755,6.0710538151221005,1.7152342345132594,6.94604442634175,1.6079958457335948,7.778707768198586,1.457380354788461,8.546807199876772,1.266109600980269,9.229308951552488,1.0374987056955005,9.806690396086621,0.7754117159663061,10.261225492230185,0.48421985730799155,10.577248702138522,0.16876237451510695,10.741398683825206,-0.16569008951062317,10.742843041118782,-0.513469649606142,10.573485382798363,-0.8685429591896694,10.22815590162559,-1.2245407195261915,9.704786635378358,-1.5747850300443889,9.004572517827365,-1.9123146982078258,8.132119269686914,-2.229908630515397,7.095579119444888,-2.520107426953926,5.906775282915448,-2.7752333000774754,4.581316069412276,-2.9874084372236127,3.1386994224636817,-3.1485719205293656,1.6024086446542292,-3.250495314668598,0.0
